"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,63.8,90,14.44,28.89,1.26,0.058,0.24,0.25
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,122.27,255,13.65,27.37,0.28,0.008,0.15,0.15
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,93.8,238,13.62,27.24,0.27,0.019,0.2,0.2
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.55,18,14,27.99,0.99,0.028,0.11,0.09
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,9,70.45,145,14.33,28.62,-0.61,-0.026,0.15,0.15
"A.J. Greer","A.J..GREER","8478421","22-23","BOS","L","L",1996-12-14,25,2015,2,39,61,543.37,608,13.65,27.5,0.26,0.013,0.13,0.15
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,254.55,443,12.37,26.72,-0.18,-0.01,0.09,0.13
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.83,68,12.59,26.73,-0.41,-0.013,0.18,0.14
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1485.73,644,14.21,28.51,0.19,0.008,0.15,0.18
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1378.1,649,14.17,28.63,0.65,0.022,0.19,0.2
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1194.68,613,14.36,28.82,0.55,0.024,0.18,0.19
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1500,663,14.66,29.41,0.67,0.024,0.2,0.22
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1562.65,666,14.92,29.84,0.67,0.028,0.22,0.25
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1268.28,648,14.44,29.01,0.67,0.031,0.22,0.22
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,630.15,156,14.67,29.19,0.42,0.012,0.12,0.16
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1092.75,620,14.6,29.13,0.57,0.025,0.21,0.22
"Aaron Ekblad","AARON.EKBLAD","8477932","22-23","FLA","D","R",1996-02-07,26,2014,1,1,71,1182.83,660,14.51,29.23,0.81,0.042,0.23,0.23
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,15.1,36,13.13,26.72,0.05,-0.011,0.16,0.1
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,143.03,270,13.55,27.91,0.74,0.012,0.19,0.19
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,65.65,126,13.82,27.91,-0.15,-0.005,0.17,0.19
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,73.27,147,13.24,27.01,0.15,0.004,0.15,0.16
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,342.2,303,13.21,28.47,-0.15,0.004,0.15,0.16
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,460.53,402,13.39,28.54,0.65,0.013,0.19,0.17
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY","D","L",1983-04-30,26,2001,3,85,22,253.17,271,13.4,27.83,-0.03,0,0.17,0.15
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","EDM","D","L",1983-04-30,26,2001,3,85,19,301.17,279,13.8,28.56,0.24,0.015,0.16,0.19
