"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft_Yr","Draft_Rd","Draft_Ov","GP","TOI_EV","TOI_PP","EV_iFF","PP_iFF","EV_Sh%","PP_Sh%","All_Sh%","EV_Sh_Goals","PP_Sh_Goals","All_Sh_Goals"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,63.8,2.9,7,2,-0.022,-0.019,-0.022,-0.16,-0.04,-0.19
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,122.3,2.8,15,0,-0.032,0,-0.032,-0.48,0,-0.48
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,93.8,0,11,0,-0.014,0,-0.014,-0.16,0,-0.16
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.6,0,0,0,0,0,0,0,0,0
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,9,70.4,0,16,0,-0.013,0,-0.013,-0.21,0,-0.21
"A.J. Greer","A.J..GREER","8478421","22-23","BOS","L","L",1996-12-14,25,2015,2,39,61,543.4,4.2,84,0,-0.032,0,-0.032,-2.71,0,-2.71
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,254.5,1.5,19,0,-0.054,0,-0.054,-1.02,0,-1.02
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.8,0,2,0,0.038,0,0.038,0.08,0,0.08
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1485.7,221.4,172,56,0.006,0.055,0.018,1.06,3.07,4.13
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1378.1,218.4,175,51,0.049,-0.02,0.033,8.56,-1.03,7.53
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1194.7,187.3,208,76,-0.01,0.001,-0.007,-2.17,0.05,-2.12
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1500,173.4,215,48,0.019,0.044,0.023,3.99,2.13,6.12
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1562.7,138,171,42,0.021,0.051,0.027,3.58,2.14,5.72
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1268.3,95.9,155,21,-0.001,-0.051,-0.007,-0.14,-1.06,-1.2
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,630.2,132.8,82,54,0.039,0.051,0.044,3.17,2.75,5.92
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1092.7,213.9,164,57,0.044,-0.005,0.031,7.17,-0.31,6.86
"Aaron Ekblad","AARON.EKBLAD","8477932","22-23","FLA","D","R",1996-02-07,26,2014,1,1,71,1182.8,231.5,183,82,-0.018,0.025,-0.004,-3.23,2.06,-1.16
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,15.1,0,4,0,-0.014,0,-0.014,-0.05,0,-0.05
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,143,2.1,18,1,-0.038,-0.015,-0.037,-0.68,-0.01,-0.7
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,65.7,0,9,0,-0.025,0,-0.025,-0.22,0,-0.22
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,73.3,1.9,14,0,0.074,0,0.074,1.04,0,1.04
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,342.2,55.2,15,3,-0.017,-0.007,-0.016,-0.26,-0.02,-0.28
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,460.5,12.7,40,1,0.029,0,0.029,1.18,0,1.18
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY/EDM","D","L",1983-04-30,26,2001,3,85,41,554.3,38,51,4,0.033,-0.005,0.031,1.7,-0.02,1.68
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,793.1,47.4,73,15,-0.004,0.016,0,-0.26,0.24,-0.02
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,138.4,0.1,11,0,-0.014,0,-0.014,-0.16,0,-0.16
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,66.1,0,2,0,0.001,0,0.001,0,0,0
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,828.2,9.5,42,0,-0.011,0,-0.011,-0.47,0,-0.47
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,149.2,0.6,12,1,-0.013,0.002,-0.012,-0.16,0,-0.16
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,273,6,31,0,0.006,0,0.006,0.18,0,0.18
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,97.4,0.2,13,0,-0.016,0,-0.016,-0.2,0,-0.2
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.7,0,1,0,0.003,0,0.003,0,0,0
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,94.7,0,2,0,0,0,0,0,0,0
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,292.6,0.8,19,0,-0.024,0,-0.024,-0.46,0,-0.46
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.8,0,2,0,0.002,0,0.002,0,0,0
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,23.8,1.6,4,0,-0.014,0,-0.014,-0.06,0,-0.06
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,282.7,1.6,50,0,-0.035,0,-0.035,-1.75,0,-1.75
