"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_All","xEVO_GAR","xEVD_GAR","xPPO_GAR","xSHD_GAR","Take_GAR","Draw_GAR","xOff_GAR","xDef_GAR","Pens_GAR","xGAR","xWAR","xSPAR"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,68.3,0.6,0.8,0,0,0.2,-0.1,0.5,0.8,0,1.4,0.3,0.5
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,125.7,-0.7,-0.8,0,0,-0.3,0.1,-0.7,-0.8,-0.2,-1.7,-0.3,-0.6
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,94,-0.1,0.4,0,0,-0.5,-0.2,-0.1,0.4,-0.7,-0.4,-0.1,-0.1
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,9,70.7,0.3,0.5,0,0,0,1,0.3,0.5,1,1.7,0.3,0.6
"A.J. Greer","A.J..GREER","8478421","22-23","BOS","L","L",1996-12-14,25,2015,2,39,61,555.6,-0.1,3.4,0,0,-0.6,-0.2,-0.1,3.5,-0.8,2.6,0.4,0.8
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,256.9,-1.5,-0.9,0,0,-2.4,0.1,-1.5,-0.9,-2.3,-4.7,-0.8,-1.6
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1766.6,4.5,2.6,4.7,-0.1,1,0.7,9.2,2.5,1.6,13.4,2.5,4.9
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1690.8,9.5,3,0,0.3,0.9,-0.6,9.5,3.4,0.3,13.2,2.5,4.9
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1459.3,-1.1,-0.1,1.4,0.7,-0.1,0.1,0.3,0.5,0.1,0.9,0.2,0.3
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1917.9,6.8,-4.9,3.3,-1.6,-1.2,-0.8,10.1,-6.6,-2,1.6,0.3,0.6
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1938.8,8.1,3.6,3.6,2.4,-0.5,0.7,11.7,6,0.2,17.8,3.3,6.3
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1537.9,4.6,4.7,0,-1.7,0.9,0.4,4.6,2.9,1.3,8.9,1.6,3
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,878.2,3.4,0.4,5.3,-0.4,-0.3,0.4,8.7,0,0.1,8.8,1.6,2.9
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1520.2,11.8,5.9,1.9,0.8,1.2,-0.6,13.7,6.7,0.6,21,3.7,7
"Aaron Ekblad","AARON.EKBLAD","8477932","22-23","FLA","D","R",1996-02-07,26,2014,1,1,71,1661,-0.3,-1.2,3.8,2.9,-1.5,0.7,3.5,1.7,-0.9,4.3,0.7,1.4
